rang,équipe,points,matches,wins,draws,losses,goals_for,goals_against,goal_diff
1,Paris Saint-Germain,5814,1030,563,249,218,1865,967,898
2,Olympique Lyonnais,5664,1031,547,247,237,1754,1082,672
3,Olympique Marseille,5160,1031,482,274,275,1527,1117,410
4,AS Monaco,5014,1031,478,280,273,1586,1139,447
5,Lille OSC,4981,1047,476,303,268,1443,1039,404
6,Girondins Bordeaux,4419,996,405,298,293,1309,1123,186
7,Stade Rennais,4407,1031,401,266,364,1344,1217,127
8,OGC Nice,4217,1055,390,322,343,1215,1161,54
9,RC Lens,4064,1031,406,306,319,1302,1155,147
10,AS Saint-Étienne,3992,1053,391,300,362,1276,1266,10
11,AJ Auxerre,3743,1035,380,299,356,1258,1197,61
12,Montpellier HSC,3735,1037,358,285,394,1268,1327,-59
13,FC Nantes,3717,1031,349,286,396,1130,1218,-88
14,FC Lorient,3623,1047,382,290,375,1325,1333,-8
15,Toulouse FC,3621,1039,352,295,392,1191,1235,-44
16,FC Sochaux,3378,1047,365,311,371,1205,1215,-10
17,FC Metz,3307,1031,363,296,372,1179,1234,-55
18,SM Caen,3254,1061,368,317,376,1297,1313,-16
19,EA Guingamp,3197,1047,367,301,379,1279,1281,-2
20,ESTAC Troyes,3152,1049,378,279,392,1245,1278,-33
21,AS Nancy Lorraine,3128,1043,361,313,369,1204,1214,-10
22,Havre AC,3085,1039,367,318,354,1187,1158,29
23,RC Strasbourg,3043,948,328,291,329,1160,1172,-12
24,SC Bastia,2927,931,336,248,347,1100,1105,-5
25,AC Ajaccio,2902,1046,348,301,397,1084,1267,-183
26,Stade de Reims,2844,977,348,302,327,1163,1120,43
27,Stade Brestois 29,2769,937,345,263,329,1129,1092,37
28,Angers SCO,2729,1049,346,326,377,1155,1227,-72
29,Clermont Foot 63,2546,977,349,308,320,1171,1145,26
30,Amiens SC,2461,1051,349,335,367,1171,1200,-29
31,Valenciennes FC,2445,977,314,301,362,1115,1188,-73
32,Nîmes Olympique,2394,1048,360,303,385,1274,1314,-40
33,Dijon FCO,2366,936,321,277,338,1127,1198,-71
34,LB Châteauroux,2352,1031,330,317,384,1157,1309,-152
35,Stade Lavallois,2333,1040,354,322,364,1215,1213,2
36,Le Mans FC,2254,849,295,265,289,992,994,-2
37,Chamois Niortais,2197,980,305,326,349,1114,1174,-60
38,CS Sedan,2001,728,261,237,230,906,843,63
39,Grenoble Foot 38,1849,747,251,232,264,816,843,-27
40,Paris FC,1681,811,308,244,259,953,879,74
41,US Créteil-Lusitanos,1610,877,281,283,313,1009,1044,-35
42,FC Istres,1377,674,217,207,250,735,826,-91
43,Tours FC,1311,638,207,188,243,740,791,-51
44,US Boulogne,1164,676,233,200,243,776,779,-3
45,Red Star FC,1162,648,236,177,235,799,808,-9
46,FC Gueugnon,1153,538,152,173,213,544,663,-119
47,Pau FC,1129,696,226,204,266,796,875,-79
48,Gazélec FC Ajaccio,1072,585,205,159,221,651,711,-60
49,Évian Thonon Gaillard,954,380,135,101,144,458,458,0
50,US Orléans,922,539,186,165,188,633,639,-6
51,AS Cannes,914,530,190,159,181,601,602,-1
52,AS Beauvais,875,500,160,165,175,544,572,-28
53,Rodez AF,848,441,150,124,167,517,528,-11
54,USL Dunkerque,758,416,156,110,150,489,480,9
55,FC Bourg-Péronnas,712,457,151,132,174,533,590,-57
