team,rating
Paris Saint-Germain,1895.82
Lille OSC,1756.36
Olympique Marseille,1751.23
AS Monaco,1744.49
RC Lens,1739.62
Olympique Lyonnais,1737.35
OGC Nice,1720.33
RC Strasbourg,1715.18
Stade Brestois 29,1644.26
Toulouse FC,1637.57
Stade Rennais,1612.5
FC Nantes,1582.85
AJ Auxerre,1567.44
Havre AC,1566.52
Angers SCO,1551.79
FC Lorient,1550.74
Paris FC,1549.01
Stade de Reims,1517.54
AS Saint-Étienne,1516.97
ESTAC Troyes,1495.13
FC Metz,1488.63
Montpellier HSC,1439.49
EA Guingamp,1430.97
USL Dunkerque,1424.91
Pau FC,1421.25
Red Star FC,1420.77
FC Annecy,1411.16
Le Mans FC,1405.75
Rodez AF,1405.61
AC Ajaccio,1386.0
Clermont Foot 63,1384.3
Amiens SC,1380.58
Grenoble Foot 38,1374.51
AS Nancy Lorraine,1373.38
Stade Lavallois,1371.49
Dijon FCO,1342.82
SC Bastia,1329.36
FC Martigues,1326.03
FC Rouen 1899,1325.29
US Boulogne,1298.98
FC Versailles,1280.42
US Orléans,1278.71
US Concarneau,1271.19
SC Aubagne Air Bel,1261.01
SM Caen,1259.77
FC Sochaux,1249.85
Valenciennes FC,1235.56
US Quevilly-Rouen,1227.4
LB Châteauroux,1226.68
FC Fleury 91,1215.08
FC Bourg-Péronnas,1207.51
Paris 13 Atletico,1204.12
Le Puy Foot 43,1191.7
FC Villefranche Beaujolais,1178.22
Girondins Bordeaux,1166.91
Nîmes Olympique,1165.3
Stade Briochin,1123.13
Chamois Niortais,1046.63
Marignane Gignac,947.47
GOAL FC,942.42
US Avranches,932.08
SO Cholet,930.11
SAS Épinal,916.16
Thouars Foot 79,800
Étoile FC,800
Olympique Noisy-le-Sec Banlieue 93,800
US Raon l'Etape,800
AS Angoulême Charente,800
CS Sedan,800
US Lusitanos de Saint-Maur,800
Stade Poitevin,800
Tours FC,800
Saint-Denis Saint-Leu FC,800
FC Istres,800
Gazélec FC Ajaccio,800
RC France 92,800
SC Toulon,800
AS Beauvais,800
ES Wasquehal,800
FC Mulhouse,800
ASOA Valence,800
FC Gueugnon,800
AS Cannes,800
Louhans-Cuiseaux,800
US Créteil-Lusitanos,800
Pacy Vallée,800
AS Saint-Priest,800
AS Évry,800
Racing Besançon,800
Olympique Alès-en-Cévennes,800
La Roche-sur-Yon VF,800
Calais RUFC,800
FC Sète,800
Stade Beaucairois,800
AS Cherbourg,800
ES Viry-Châtillon,800
Trélissac FC,800
SO Romorantin,800
FC Libourne-Saint-Seurin,800
Entente SSG,800
Évian Thonon Gaillard,800
Aviron Bayonnais,800
US Roye,800
SO Châtellerault,800
Vannes OC,800
AS Moulins,800
AS Yzeure FC,800
Villemomble Sports,800
AC Arles-Avignon,800
SO Cassis-Carnoux,800
Stade Plabennec,800
Luzenac Ariège Pyrénées,800
Hyères FC,800
Gap FC,800
UJA Alfortville,800
SR Colmar,800
Le Poiré-sur-Vie VF,800
ES Uzès Pont du Gard,800
CA Bastia,800
USJA Carquefou,800
Luçon VF,800
US Colomiers,800
FC Chambly,800
Marseille Consolat,800
AS Béziers,800
Vendée Les Herbiers,800
ASM Belfort,800
AS Lyon Duchère,800
JA Drancy,800
FC Borgo,800
