rang,équipe,points,matches,wins,draws,losses,goals_for,goals_against,goal_diff
1,Paris Saint-Germain,5838,1034,565,251,218,1874,971,903
2,Olympique Lyonnais,5682,1035,549,247,239,1760,1088,672
3,Olympique Marseille,5187,1035,485,274,276,1539,1122,417
4,AS Monaco,5029,1035,479,282,274,1591,1145,446
5,Lille OSC,5002,1051,478,304,269,1452,1042,410
6,Girondins Bordeaux,4419,996,405,298,293,1309,1123,186
7,Stade Rennais,4416,1035,401,269,365,1349,1223,126
8,OGC Nice,4241,1059,392,324,343,1223,1167,56
9,RC Lens,4094,1035,409,307,319,1308,1158,150
10,AS Saint-Étienne,4004,1058,393,300,365,1288,1276,12
11,Montpellier HSC,3755,1042,361,286,395,1275,1331,-56
12,AJ Auxerre,3746,1039,380,300,359,1261,1204,57
13,FC Nantes,3732,1035,350,288,397,1134,1223,-89
14,Toulouse FC,3642,1043,354,296,393,1199,1239,-40
15,FC Lorient,3635,1051,383,291,377,1331,1341,-10
16,FC Sochaux,3382,1050,366,312,372,1208,1217,-9
17,FC Metz,3310,1035,363,297,375,1180,1247,-67
18,SM Caen,3258,1065,369,318,378,1302,1318,-16
19,EA Guingamp,3209,1052,368,304,380,1286,1288,-2
20,ESTAC Troyes,3174,1054,381,281,392,1254,1282,-28
21,AS Nancy Lorraine,3136,1048,362,314,372,1209,1222,-13
22,Havre AC,3100,1043,368,320,355,1192,1166,26
23,RC Strasbourg,3055,952,329,292,331,1170,1179,-9
24,SC Bastia,2931,935,336,250,349,1100,1108,-8
25,AC Ajaccio,2902,1046,348,301,397,1084,1267,-183
26,Stade de Reims,2860,982,350,304,328,1174,1128,46
27,Stade Brestois 29,2784,941,346,265,330,1134,1098,36
28,Angers SCO,2741,1053,347,327,379,1158,1235,-77
29,Clermont Foot 63,2556,982,350,310,322,1175,1151,24
30,Amiens SC,2473,1056,351,335,370,1177,1211,-34
31,Valenciennes FC,2449,980,315,302,363,1119,1191,-72
32,Nîmes Olympique,2394,1048,360,303,385,1274,1314,-40
33,Dijon FCO,2376,940,324,278,338,1137,1200,-63
34,LB Châteauroux,2356,1034,331,318,385,1160,1312,-152
35,Stade Lavallois,2337,1044,354,324,366,1216,1216,0
36,Le Mans FC,2272,854,297,268,289,1000,1000,0
37,Chamois Niortais,2197,980,305,326,349,1114,1174,-60
38,CS Sedan,2001,728,261,237,230,906,843,63
39,Grenoble Foot 38,1861,752,252,235,265,821,847,-26
40,Paris FC,1693,815,309,245,261,958,884,74
41,US Créteil-Lusitanos,1610,877,281,283,313,1009,1044,-35
42,FC Istres,1377,674,217,207,250,735,826,-91
43,Tours FC,1311,638,207,188,243,740,791,-51
44,Red Star FC,1182,653,239,178,236,804,813,-9
45,US Boulogne,1172,681,234,201,246,782,790,-8
46,FC Gueugnon,1153,538,152,173,213,544,663,-119
