date,competition,journee,equipe_dom,equipe_ext,buts_dom,buts_ext
1997-08-01,ligue-1,1,Toulouse FC,Stade Rennais,1,0
1997-08-01,national,1,Thouars Foot 79,Étoile FC,2,2
1997-08-01,national,1,Olympique Noisy-le-Sec Banlieue 93,Angers SCO,1,0
1997-08-01,national,1,US Raon l'Etape,AS Angoulême Charente,2,2
1997-08-01,national,1,CS Sedan,US Lusitanos de Saint-Maur,2,0
1997-08-01,national,1,Stade Poitevin,Paris FC,1,1
1997-08-01,national,1,Tours FC,Saint-Denis Saint-Leu FC,0,1
1997-08-01,national,1,FC Istres,SAS Épinal,1,1
1997-08-01,ligue-1,1,Girondins Bordeaux,AS Monaco,1,0
1997-08-01,national,1,Gazélec FC Ajaccio,RC France 92,0,0
1997-08-02,ligue-2,1,SM Caen,Amiens SC,1,3
1997-08-02,ligue-2,1,AS Saint-Étienne,Lille OSC,2,2
1997-08-02,ligue-2,1,FC Sochaux,FC Martigues,4,1
1997-08-02,ligue-2,1,SC Toulon,FC Lorient,0,1
1997-08-02,ligue-2,1,ESTAC Troyes,AS Nancy Lorraine,4,2
1997-08-02,ligue-2,1,AS Beauvais,Nîmes Olympique,5,3
1997-08-02,ligue-2,1,ES Wasquehal,FC Mulhouse,2,1
1997-08-02,ligue-2,1,Chamois Niortais,ASOA Valence,1,1
1997-08-02,ligue-2,1,Stade Lavallois,FC Gueugnon,0,0
1997-08-02,ligue-1,1,Paris Saint-Germain,LB Châteauroux,2,0
1997-08-02,ligue-2,1,OGC Nice,Red Star FC,1,1
1997-08-02,ligue-1,1,Montpellier HSC,RC Strasbourg,1,1
1997-08-02,ligue-1,1,Olympique Marseille,Havre AC,3,1
1997-08-02,ligue-1,1,Olympique Lyonnais,FC Metz,0,1
1997-08-02,ligue-1,1,RC Lens,AJ Auxerre,3,0
1997-08-02,ligue-1,1,EA Guingamp,AS Cannes,3,1
1997-08-02,ligue-1,1,FC Nantes,SC Bastia,0,1
1997-08-02,ligue-2,1,Louhans-Cuiseaux,Le Mans FC,1,0
1997-08-08,national,2,SAS Épinal,Olympique Noisy-le-Sec Banlieue 93,1,1
1997-08-08,national,2,Étoile FC,US Créteil-Lusitanos,1,3
1997-08-08,national,2,Thouars Foot 79,Stade Poitevin,0,0
1997-08-08,national,2,US Lusitanos de Saint-Maur,Saint-Denis Saint-Leu FC,2,1
1997-08-08,national,2,Paris FC,Gazélec FC Ajaccio,4,1
1997-08-08,national,2,AC Ajaccio,FC Istres,2,0
1997-08-08,national,2,Angers SCO,CS Sedan,0,2
1997-08-08,ligue-1,2,AJ Auxerre,Paris Saint-Germain,2,3
1997-08-08,ligue-1,2,Stade Rennais,Olympique Lyonnais,0,3
1997-08-08,national,2,RC France 92,Tours FC,1,0
1997-08-09,ligue-2,2,Red Star FC,Louhans-Cuiseaux,1,0
1997-08-09,ligue-2,2,ASOA Valence,FC Sochaux,1,2
1997-08-09,ligue-2,2,Amiens SC,Stade Lavallois,2,0
1997-08-09,ligue-2,2,FC Gueugnon,Chamois Niortais,0,0
